distributor_id,distributor_name,distributor_email,region
2155236,Roys Distributing,info@roysdistributing.com,South
2052188,ABC Warehouse,abc@warehouse.com,West
5285412,District Wholesale,fred@districtwholesale.com,West
9952745,Middle Man Distributors,orders@middleman.com,Central
6187541,Wholesale Solutions LLC,wholesalesolutions@gmail.com,Northweast
2252321,Bulk on Demand Inc,orders@bulkondemand.com,West
6002152,Order Pros,csmith@orderpros.com,West
452125,Happy Distributors,info@happydist.com,East
8885421,Retail Distribution Inc,hbradley@retaildistributioninc.com,Northwest
1455601,Wholesale Operative LLC,sandra@wholesaleoperative.com,Northwest
