product_id,website_name
P1000001,Amazon
P1000001,Walmart
P1000001,Target
P1000001,Ikea
P1000002,Costco
P1000002,Amazon
P1000002,Target
P1000002,Ikea
P1000003,Costco
P1000003,Amazon
P1000003,Walmart
P1000003,Target
P1000003,Ikea
P1000004,Costco
P1000004,Amazon
P1000004,Walmart
P1000004,Target
P1000004,Ikea
P1000005,Costco
P1000005,Amazon
P1000005,Walmart
P1000005,Target
P1000005,Ikea
P1000006,Costco
P1000006,Amazon
P1000006,Target
P1000006,Ikea
P1000007,Amazon
P1000007,Walmart
P1000007,Target
P1000007,Ikea
P1000008,Costco
P1000008,Amazon
P1000008,Walmart
P1000008,Target
P1000008,Ikea
P1000009,Costco
P1000009,Amazon
P1000009,Target
P1000009,Ikea
P1000010,Amazon
P1000010,Walmart
P1000010,Target
P1000010,Ikea
P1000011,Costco
P1000011,Amazon
P1000011,Walmart
P1000011,Ikea
P1000012,Costco
P1000012,Amazon
P1000012,Walmart
P1000012,Ikea
P1000013,Costco
P1000013,Amazon
P1000013,Walmart
P1000013,Target
P1000013,Ikea
P1000014,Costco
P1000014,Walmart
P1000014,Target
P1000014,Ikea
P1000015,Costco
P1000015,Amazon
P1000015,Walmart
P1000015,Target
P1000015,Ikea
P1000016,Costco
P1000016,Amazon
P1000016,Walmart
P1000016,Target
P1000016,Ikea
P1000017,Costco
P1000017,Amazon
P1000017,Target
P1000018,Costco
P1000018,Amazon
P1000018,Walmart
P1000018,Target
P1000018,Ikea
P1000019,Costco
P1000019,Amazon
P1000019,Walmart
P1000019,Target
P1000019,Ikea
P1000020,Costco
P1000020,Amazon
P1000020,Walmart
P1000020,Target
P1000020,Ikea
P1000021,Costco
P1000021,Amazon
P1000021,Walmart
P1000021,Target
P1000021,Ikea
P1000022,Costco
P1000022,Amazon
P1000022,Walmart
P1000022,Target
P1000022,Ikea
P1000023,Costco
P1000023,Amazon
P1000023,Walmart
P1000023,Target
P1000023,Ikea
P1000024,Amazon
P1000024,Walmart
P1000024,Target
P1000024,Ikea
P1000025,Costco
P1000025,Amazon
P1000025,Walmart
P1000025,Target
P1000025,Ikea
P1000026,Costco
P1000026,Amazon
P1000026,Walmart
P1000026,Target
P1000026,Ikea
P1000027,Costco
P1000027,Amazon
P1000027,Walmart
P1000027,Target
P1000027,Ikea
P1000028,Costco
P1000028,Amazon
P1000028,Walmart
P1000028,Target
P1000028,Ikea
P1000029,Costco
P1000029,Amazon
P1000029,Walmart
P1000029,Ikea
P1000030,Costco
P1000030,Amazon
P1000030,Walmart
P1000030,Target
P1000030,Ikea
P1000031,Costco
P1000031,Amazon
P1000031,Target
P1000031,Ikea
P1000032,Costco
P1000032,Walmart
P1000032,Target
P1000032,Ikea
P1000033,Costco
P1000033,Amazon
P1000033,Walmart
P1000033,Target
P1000033,Ikea
P1000034,Costco
P1000034,Amazon
P1000034,Target
P1000034,Ikea
P1000035,Costco
P1000035,Amazon
P1000035,Walmart
P1000035,Target
P1000035,Ikea
P1000036,Costco
P1000036,Amazon
P1000036,Walmart
P1000036,Target
P1000036,Ikea
P1000037,Costco
P1000037,Amazon
P1000037,Walmart
P1000037,Ikea
P1000038,Costco
P1000038,Amazon
P1000038,Walmart
P1000038,Target
P1000038,Ikea
P1000039,Costco
P1000039,Amazon
P1000039,Target
P1000039,Ikea
P1000040,Costco
P1000040,Amazon
P1000040,Walmart
P1000040,Target
P1000040,Ikea
P1000041,Costco
P1000041,Amazon
