websitekey,productkey,price
1,1,3.26
1,2,4.34
1,3,5.58
1,4,6.46
1,5,10.01
1,6,11.99
1,7,15.44
1,8,15.53
1,9,16.29
1,10,19.6
1,11,27.1
1,12,35.47
1,13,42.26
1,14,47.34
1,15,47.42
1,16,49.16
1,17,53.64
1,18,71.67
1,19,73
1,21,80.06
1,22,87.27
1,23,87.84
1,24,90.29
1,25,94.19
1,26,96.83
1,27,97.34
1,28,102.66
1,29,124.5
1,30,136.18
1,31,161.87
1,32,177.53
1,34,212.36
1,35,213.42
1,36,218.65
1,37,219.05
1,38,219.38
1,39,230.65
1,40,234.16
1,41,238.86
1,42,258.37
1,43,262.26
1,44,300.72
1,45,302.26
1,47,321.87
1,48,340.44
1,49,375.76
1,50,389
1,52,397.1
1,53,419.98
1,54,452.75
1,55,467.07
1,56,488.95
1,57,532.7
1,58,600.86
1,59,618
1,60,620.91
1,61,622.75
1,62,957.88
1,63,1004.32
1,64,800.3
1,65,1337.13
1,66,1488.72
1,67,1706.48
1,68,1740.36
1,69,1600.73
1,70,25.77
1,71,19.76
1,72,60.64
1,73,95.92
1,74,17.76
1,75,212.26
1,76,38.52
1,77,75.48
1,78,15.56
1,80,14.86
1,81,48.78
1,83,26.12
1,84,111.32
1,85,76.18
1,86,4.92
1,87,19.35
1,88,73.08
1,89,1.55
1,90,27.54
1,91,14.28
1,92,20.29
1,94,28.29
1,95,45.3
1,96,46.28
1,97,54.68
1,98,60.27
1,99,68.34
1,100,74.41
1,101,90.87
1,102,96.28
1,103,144.28
1,104,147.47
1,105,150.27
1,106,168.27
1,107,203.48
1,108,213.78
1,109,239.2
1,110,340.26
1,111,371.47
1,112,384.75
1,113,907.45
1,114,911.72
1,115,945.23
1,116,1030.25
1,117,1097.84
1,118,1781.25
2,2,4.24
2,3,5.48
2,4,6.36
2,5,9.91
2,6,11.89
2,7,15.34
2,8,15.43
2,10,19.5
2,11,27
2,12,35.37
2,13,42.16
2,14,47.24
2,15,47.32
2,16,49.06
2,18,71.57
2,19,72.9
2,20,77.8
2,21,79.96
2,22,87.17
2,23,87.74
2,24,90.19
2,25,94.09
2,26,96.73
2,27,97.24
2,30,136.08
2,31,161.77
2,32,177.43
2,33,191.12
2,34,212.26
2,35,213.32
2,36,218.55
2,37,218.95
2,38,219.28
2,39,230.55
2,40,234.06
2,41,238.76
2,42,258.27
2,43,262.16
2,44,300.62
2,45,302.16
2,46,319.61
2,47,321.77
2,48,340.34
2,49,375.66
2,50,388.9
2,51,389.9
2,52,397
2,53,419.88
2,54,452.65
2,55,466.97
2,56,488.85
2,57,532.6
2,58,600.76
2,59,617.9
2,60,620.81
2,61,622.65
2,62,957.78
2,63,1004.22
2,64,800.2
2,65,1337.03
2,66,1488.62
2,67,1706.38
2,68,1740.26
2,69,1600.63
2,70,25.67
2,71,19.66
2,72,60.54
2,73,95.82
2,74,17.66
2,75,212.16
2,76,38.42
2,77,75.38
2,78,15.46
2,79,208.76
2,80,14.76
2,81,48.68
2,82,1.88
2,85,76.08
2,86,4.82
2,87,19.25
2,88,72.98
2,89,1.45
2,90,27.44
2,92,20.19
2,93,22
2,94,28.19
2,95,45.2
2,96,46.18
2,97,54.58
2,98,60.17
2,99,68.24
2,100,74.31
2,101,90.77
2,102,96.18
2,103,144.18
2,104,147.37
2,105,150.17
2,106,168.17
2,107,203.38
2,108,213.68
2,109,239.1
2,110,340.16
2,111,371.37
2,112,384.65
2,113,907.35
2,114,911.62
2,115,945.13
2,116,1030.15
2,118,1781.15
3,1,3.21
3,2,4.29
3,3,5.53
3,4,6.41
3,5,9.96
3,6,11.94
3,7,15.39
3,8,15.48
3,9,16.24
3,10,19.55
3,11,27.05
3,13,42.21
3,14,47.29
3,15,47.37
3,16,49.11
3,17,53.59
3,18,71.62
3,19,72.95
3,20,77.85
3,21,80.01
3,22,87.22
3,23,87.79
3,24,90.24
3,25,94.14
3,26,96.78
3,27,97.29
3,28,102.61
3,29,124.45
3,30,136.13
3,32,177.48
3,33,191.17
3,34,212.31
3,35,213.37
3,36,218.6
3,37,219
3,38,219.33
3,40,234.11
3,41,238.81
3,42,258.32
3,43,262.21
3,44,300.67
3,45,302.21
3,46,319.66
3,47,321.82
3,48,340.39
3,49,375.71
3,50,388.95
3,51,389.95
3,52,397.05
3,53,419.93
3,55,467.02
3,56,488.9
3,57,532.65
3,58,600.81
3,59,617.95
3,60,620.86
3,61,622.7
3,62,957.83
3,63,1004.27
3,64,800.25
3,65,1337.08
3,66,1488.67
3,67,1706.43
3,68,1740.31
3,69,1600.68
3,70,25.72
3,71,19.71
3,72,60.59
3,73,95.87
3,74,17.71
3,75,212.21
3,76,38.47
3,77,75.43
3,78,15.51
3,79,208.81
3,80,14.81
3,81,48.73
3,83,26.07
3,84,111.27
3,85,76.13
3,86,4.87
3,87,19.3
3,88,73.03
3,89,1.5
3,90,27.49
3,91,14.23
3,92,20.24
3,93,22.05
3,94,28.24
3,95,45.25
3,96,46.23
3,97,54.63
3,98,60.22
3,99,68.29
3,100,74.36
3,101,90.82
3,102,96.23
3,103,144.23
3,104,147.42
3,105,150.22
3,106,168.22
3,107,203.43
3,108,213.73
3,109,239.15
3,110,340.21
3,111,371.42
3,112,384.7
3,113,907.4
3,114,911.67
3,115,945.18
3,117,1097.79
3,118,1781.2
4,1,3.46
4,2,4.54
4,3,5.78
4,4,6.66
4,5,10.21
4,6,12.19
4,7,15.64
4,8,15.73
4,9,16.49
4,11,27.3
4,12,35.67
4,13,42.46
4,14,47.54
4,15,47.62
4,16,49.36
4,17,53.84
4,19,73.2
4,20,78.1
4,21,80.26
4,22,87.47
4,23,88.04
4,24,90.49
4,25,94.39
4,26,97.03
4,27,97.54
4,28,102.86
4,29,124.7
4,30,136.38
4,32,177.73
4,33,191.42
4,34,212.56
4,35,213.62
4,36,218.85
4,37,219.25
4,38,219.58
4,39,230.85
4,40,234.36
4,41,239.06
4,42,258.57
4,43,262.46
4,44,300.92
4,45,302.46
4,46,319.91
4,47,322.07
4,48,340.64
4,50,389.2
4,51,390.2
4,52,397.3
4,53,420.18
4,54,452.95
4,55,467.27
4,56,489.15
4,57,532.9
4,58,601.06
4,60,621.11
4,61,622.95
4,62,958.08
4,63,1004.52
4,64,800.5
4,65,1337.33
4,66,1488.92
4,67,1706.68
4,68,1740.56
4,70,25.97
4,72,60.84
4,73,96.12
4,74,17.96
4,75,212.46
4,76,38.72
4,77,75.68
4,78,15.76
4,80,15.06
4,81,48.98
4,82,2.18
4,83,26.32
4,84,111.52
4,85,76.38
4,86,5.12
4,87,19.55
4,88,73.28
4,89,1.75
4,90,27.74
4,91,14.48
4,92,20.49
4,93,22.3
4,94,28.49
4,95,45.5
4,96,46.48
4,97,54.88
4,98,60.47
4,99,68.54
4,100,74.61
4,102,96.48
4,103,144.48
4,104,147.67
4,105,150.47
4,106,168.47
4,107,203.68
4,108,213.98
4,109,239.4
4,110,340.46
4,111,371.67
4,112,384.95
4,113,907.65
4,114,911.92
4,115,945.43
4,116,1030.45
4,118,1781.45
5,1,3.46
5,3,5.78
5,4,6.66
5,5,10.21
5,7,15.64
5,9,16.49
5,10,19.8
5,11,27.3
5,13,42.46
5,14,47.54
5,15,47.62
5,16,49.36
5,17,53.84
5,18,71.87
5,19,73.2
5,20,78.1
5,21,80.26
5,23,88.04
5,24,90.49
5,25,94.39
5,26,97.03
5,27,97.54
5,28,102.86
5,29,124.7
5,30,136.38
5,32,177.73
5,33,191.42
5,34,212.56
5,35,213.62
5,36,218.85
5,37,219.25
5,38,219.58
5,39,230.85
5,40,234.36
5,41,239.06
5,42,258.57
5,43,262.46
5,44,300.92
5,45,302.46
5,46,319.91
5,47,322.07
5,48,340.64
5,49,375.96
5,50,389.2
5,51,390.2
5,53,420.18
5,54,452.95
5,55,467.27
5,56,489.15
5,57,532.9
5,58,601.06
5,59,618.2
5,60,621.11
5,61,622.95
5,62,958.08
5,63,1004.52
5,64,800.5
5,65,1337.33
5,66,1488.92
5,67,1706.68
5,68,1740.56
5,69,1600.93
5,70,25.97
5,71,19.96
5,72,60.84
5,73,96.12
5,74,17.96
5,75,212.46
5,76,38.72
5,77,75.68
5,78,15.76
5,80,15.06
5,82,2.18
5,83,26.32
5,84,111.52
5,85,76.38
5,87,19.55
5,88,73.28
5,89,1.75
5,90,27.74
5,91,14.48
5,92,20.49
5,93,22.3
5,94,28.49
5,95,45.5
5,96,46.48
5,97,54.88
5,98,60.47
5,99,68.54
5,101,91.07
5,103,144.48
5,104,147.67
5,105,150.47
5,106,168.47
5,107,203.68
5,108,213.98
5,109,239.4
5,110,340.46
5,111,371.67
5,112,384.95
5,113,907.65
5,116,1030.45
5,117,1098.04
5,118,1781.45
